artist_name,track_name,track_id,track_popularity,artist_id,artist_followers,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),27NovPIUIRrOZoCHxABJwK,84,7jVv8c5Fj3E9VhNjxT4snq,12066906,"['lgbtq+ hip hop', 'pop']",81,0.736,0.704,3.0,-7.409,0.0,0.0615,0.0203,0.0,0.0501,0.894,149.995,212000.0
Doja Cat,Get Into It (Yuh),0W6I02J9xcqK8MtSeosEXb,79,5cj0lLjcoR7YOSnhnX0Po5,23023983,"['dance pop', 'pop']",86,0.912,0.655,8.0,-6.029,0.0,0.162,0.315,3.39e-05,0.0894,0.793,91.942,138293.0
Carly Pearce,What He Didn't Do,5OLaVCAM2pqg7X9mAM2W8M,74,4sIl4BTo9l9KqEi0Y3RE72,274325,"['contemporary country', 'country', 'country road']",63,0.628,0.632,9.0,-5.932,1.0,0.0325,0.257,0.0,0.288,0.559,137.854,191227.0
Kodak Black,Super Gremlin,4A8cWXxKfIL3lAyUDzXbCF,75,46SHBwWsqBkxI7EeeBEQG7,8692315,"['florida rap', 'hip hop', 'melodic rap', 'miami hip hop', 'rap', 'trap']",81,0.825,0.414,2.0,-6.634,1.0,0.144,0.00265,0.0,0.357,0.106,72.993,200548.0
Cody Johnson,'Til You Can't,4k3lPl8YTKuY8c1HelVnm3,74,6zLBxLdl60ekBLpawtT63I,745929,"['contemporary country', 'country', 'country road', 'texas country']",72,0.501,0.815,1.0,-4.865,1.0,0.0436,0.0513,0.0,0.106,0.46,160.087,224213.0
Lil Tjay,Calling My Phone,3J8EOeKLTLXORtWPpOU5bE,80,6jGMq4yGs7aQzuGsMgVgZR,5865635,"['brooklyn drill', 'melodic rap', 'nyc rap']",79,0.907,0.393,4.0,-7.636,0.0,0.0539,0.451,1.35e-06,0.135,0.202,104.949,205458.0
Bruno Mars,Leave The Door Open,02VBYrHfVwfEWXk5DXyf0T,83,0du5cEVh5yTK9QJze8zA0C,44447738,"['dance pop', 'pop']",87,0.586,0.616,5.0,-7.964,1.0,0.0324,0.182,0.0,0.0927,0.719,148.088,242096.0
J. Cole,p r i d e . i s . t h e . d e v i l (with Lil Baby),5W8jRrZ6tWrTrqnKRtIQBf,77,6l3HvQ5sa6mXTsMTB19rO5,18392617,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",85,0.861,0.656,4.0,-7.867,0.0,0.425,0.104,0.0,0.0986,0.331,88.967,218210.0
Doja Cat,Ain't Shit,5lAnYvAIkSDNXqfo7DyFUm,78,5cj0lLjcoR7YOSnhnX0Po5,23023983,"['dance pop', 'pop']",86,0.855,0.488,3.0,-4.601,1.0,0.208,0.506,0.0,0.347,0.619,124.097,174253.0
PinkPantheress,Pain,4S4QJfBGGrC8jRIjJHf1Ka,77,78rUTD7y6Cy67W1RVzYs7t,1283309,[],71,0.829,0.617,1.0,-8.497,1.0,0.14,0.227,0.00306,0.0618,0.81,125.605,98544.0
Elton John,Cold Heart - PNAU Remix,6zSpb8dQRaw0M1dK8PBwQz,86,3PhoLpVuITZKcymswpck5b,10431804,"['glam rock', 'mellow gold', 'piano rock']",83,0.796,0.798,1.0,-6.312,1.0,0.0317,0.034,4.19e-05,0.0952,0.942,116.032,202735.0
Imagine Dragons,Enemy (with JID) - from the series Arcane League of Legends,1r9xUipOqoNwggBpENDsvJ,85,53XhwfbYqKCa1cC15pYq2q,43487897,"['modern rock', 'rock']",87,0.728,0.783,11.0,-4.424,0.0,0.266,0.237,0.0,0.434,0.555,77.011,173381.0
The Kid LAROI,STAY (with Justin Bieber),5PjdY0CKGZdEuoNab3yDmX,85,2tIP7SsRs7vjIcLrU85W8J,4090880,"['australian hip hop', 'pop']",80,0.591,0.764,1.0,-5.484,1.0,0.0483,0.0383,0.0,0.103,0.478,169.928,141806.0
"Tyler, The Creator",WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),5B0kgjHULYJhAQkK5XsMoC,75,4V8LLVI7PbaPR0K2TGSxFF,9926658,"['hip hop', 'rap']",83,0.493,0.653,0.0,-5.666,0.0,0.0466,0.269,0.0,0.511,0.852,142.347,121573.0
Conner Smith,Take It Slow,3CC2sCo30DhwOwGI4NN30I,73,0y2FPygoi6LVc75pxCgsMk,25941,"['contemporary country', 'country']",59,0.594,0.838,5.0,-3.768,1.0,0.0323,0.0823,0.0,0.126,0.524,116.012,162587.0
AJR,Bang!,5FQPpxOXsvkMN6v18gtpwY,72,6s22t5Y3prQHyaHWUN1R1C,2643135,['modern rock'],75,0.74,0.517,1.0,-6.233,0.0,0.0506,0.0183,0.0,0.0558,0.698,139.917,170858.0
